company_slug,company_name,industry,source_name,source_url,rating_value,rating_scale,reviews_count,fetched_at,status,is_public,note
pireus-bank,Піреус Банк,Банки і фінанси,Indeed,,,5,,,needs_verification,false,
pireus-bank,Піреус Банк,Банки і фінанси,Glassdoor,,,5,,,needs_verification,false,
planeta-zdorovia,Планета Здоров'я,Фармацевтика,Google,,,5,,,needs_verification,false,
planeta-zdorovia,Планета Здоров'я,Фармацевтика,Work.ua,,,5,,,needs_verification,false,
planeta-zdorovia,Планета Здоров'я,Фармацевтика,Robota.ua,,,5,,,needs_verification,false,
planeta-zdorovia,Планета Здоров'я,Фармацевтика,Indeed,,,5,,,needs_verification,false,
planeta-zdorovia,Планета Здоров'я,Фармацевтика,Glassdoor,,,5,,,needs_verification,false,
planeta-kino-cafe,Планета Кіно Cafe,HoReCa,Google,,,5,,,needs_verification,false,
planeta-kino-cafe,Планета Кіно Cafe,HoReCa,Work.ua,,,5,,,needs_verification,false,
planeta-kino-cafe,Планета Кіно Cafe,HoReCa,Robota.ua,,,5,,,needs_verification,false,
planeta-kino-cafe,Планета Кіно Cafe,HoReCa,Indeed,,,5,,,needs_verification,false,
planeta-kino-cafe,Планета Кіно Cafe,HoReCa,Glassdoor,,,5,,,needs_verification,false,
podilskyi-tsentr-zoru,Подільський центр зору,Медицина,Google,,,5,,,needs_verification,false,
podilskyi-tsentr-zoru,Подільський центр зору,Медицина,Work.ua,,,5,,,needs_verification,false,
podilskyi-tsentr-zoru,Подільський центр зору,Медицина,Robota.ua,,,5,,,needs_verification,false,
podilskyi-tsentr-zoru,Подільський центр зору,Медицина,Indeed,,,5,,,needs_verification,false,
podilskyi-tsentr-zoru,Подільський центр зору,Медицина,Glassdoor,,,5,,,needs_verification,false,
podorozhnyk,Подорожник,Фармацевтика,Google,,,5,,,needs_verification,false,
podorozhnyk,Подорожник,Фармацевтика,Work.ua,,,5,,,needs_verification,false,
podorozhnyk,Подорожник,Фармацевтика,Robota.ua,,,5,,,needs_verification,false,
podorozhnyk,Подорожник,Фармацевтика,Indeed,,,5,,,needs_verification,false,
podorozhnyk,Подорожник,Фармацевтика,Glassdoor,,,5,,,needs_verification,false,
poltava-bank,Полтава-банк,Банки і фінанси,Google,,,5,,,needs_verification,false,
poltava-bank,Полтава-банк,Банки і фінанси,Work.ua,,,5,,,needs_verification,false,
poltava-bank,Полтава-банк,Банки і фінанси,Robota.ua,,,5,,,needs_verification,false,
poltava-bank,Полтава-банк,Банки і фінанси,Indeed,,,5,,,needs_verification,false,
poltava-bank,Полтава-банк,Банки і фінанси,Glassdoor,,,5,,,needs_verification,false,
poltavaoblenerho,Полтаваобленерго,Енергетика,Google,,,5,,,needs_verification,false,
poltavaoblenerho,Полтаваобленерго,Енергетика,Work.ua,,,5,,,needs_verification,false,
poltavaoblenerho,Полтаваобленерго,Енергетика,Robota.ua,,,5,,,needs_verification,false,
poltavskyi-hzk,Полтавський ГЗК,Металургія,Google,,,5,,,needs_verification,false,
poltavskyi-hzk,Полтавський ГЗК,Металургія,Work.ua,,,5,,,needs_verification,false,
poltavskyi-hzk,Полтавський ГЗК,Металургія,Robota.ua,,,5,,,needs_verification,false,
praveks-bank,Правекс Банк,Банки і фінанси,Google,,,5,,,needs_verification,false,
praveks-bank,Правекс Банк,Банки і фінанси,Work.ua,,,5,,,needs_verification,false,
praveks-bank,Правекс Банк,Банки і фінанси,Robota.ua,,,5,,,needs_verification,false,
praveks-bank,Правекс Банк,Банки і фінанси,Indeed,,,5,,,needs_verification,false,
praveks-bank,Правекс Банк,Банки і фінанси,Glassdoor,,,5,,,needs_verification,false,
pralnia-fresh,Пральня Fresh,Побутові послуги,Google,,,5,,,needs_verification,false,
pralnia-fresh,Пральня Fresh,Побутові послуги,Work.ua,,,5,,,needs_verification,false,
pralnia-fresh,Пральня Fresh,Побутові послуги,Robota.ua,,,5,,,needs_verification,false,
privatbank,ПриватБанк,Банки і фінанси,Google,,,5,,,needs_verification,false,
privatbank,ПриватБанк,Банки і фінанси,Work.ua,,,5,,,needs_verification,false,
privatbank,ПриватБанк,Банки і фінанси,Robota.ua,,,5,,,needs_verification,false,
privatbank,ПриватБанк,Банки і фінанси,Indeed,,,5,,,needs_verification,false,
privatbank,ПриватБанк,Банки і фінанси,Glassdoor,,,5,,,needs_verification,false,
prykarpattiaoblenerho,Прикарпаттяобленерго,Енергетика,Google,,,5,,,needs_verification,false,
prykarpattiaoblenerho,Прикарпаттяобленерго,Енергетика,Work.ua,,,5,,,needs_verification,false,
prykarpattiaoblenerho,Прикарпаттяобленерго,Енергетика,Robota.ua,,,5,,,needs_verification,false,
pryluky,Прилуки,FMCG,Google,,,5,,,needs_verification,false,
pryluky,Прилуки,FMCG,Work.ua,,,5,,,needs_verification,false,
pryluky,Прилуки,FMCG,Robota.ua,,,5,,,needs_verification,false,
pryluky,Прилуки,FMCG,Indeed,,,5,,,needs_verification,false,
pryluky,Прилуки,FMCG,Glassdoor,,,5,,,needs_verification,false,
providna,Провідна,Страхування,Google,,,5,,,needs_verification,false,
providna,Провідна,Страхування,Work.ua,,,5,,,needs_verification,false,
providna,Провідна,Страхування,Robota.ua,,,5,,,needs_verification,false,
providna,Провідна,Страхування,Indeed,,,5,,,needs_verification,false,
providna,Провідна,Страхування,Glassdoor,,,5,,,needs_verification,false,
prozorro,Прозорро,Державний сектор,Google,,,5,,,needs_verification,false,
prozorro,Прозорро,Державний сектор,Work.ua,,,5,,,needs_verification,false,
prozorro,Прозорро,Державний сектор,Robota.ua,,,5,,,needs_verification,false,
prokredyt-bank,ПроКредит Банк,Банки і фінанси,Google,,,5,,,needs_verification,false,
prokredyt-bank,ПроКредит Банк,Банки і фінанси,Work.ua,,,5,,,needs_verification,false,
prokredyt-bank,ПроКредит Банк,Банки і фінанси,Robota.ua,,,5,,,needs_verification,false,
prokredyt-bank,ПроКредит Банк,Банки і фінанси,Indeed,,,5,,,needs_verification,false,
prokredyt-bank,ПроКредит Банк,Банки і фінанси,Glassdoor,,,5,,,needs_verification,false,
prometei,Прометей,Агро,Google,,,5,,,needs_verification,false,
prometei,Прометей,Агро,Work.ua,,,5,,,needs_verification,false,
prometei,Прометей,Агро,Robota.ua,,,5,,,needs_verification,false,
promprylad,Промприлад,Виробництво,Google,,,5,,,needs_verification,false,
promprylad,Промприлад,Виробництво,Work.ua,,,5,,,needs_verification,false,
promprylad,Промприлад,Виробництво,Robota.ua,,,5,,,needs_verification,false,
puzata-khata,Пузата Хата,HoReCa,Google,,,5,,,needs_verification,false,
puzata-khata,Пузата Хата,HoReCa,Work.ua,,,5,,,needs_verification,false,
puzata-khata,Пузата Хата,HoReCa,Robota.ua,,,5,,,needs_verification,false,
puzata-khata,Пузата Хата,HoReCa,Indeed,,,5,,,needs_verification,false,
puzata-khata,Пузата Хата,HoReCa,Glassdoor,,,5,,,needs_verification,false,
pumb,ПУМБ,Банки і фінанси,Google,,,5,,,needs_verification,false,
pumb,ПУМБ,Банки і фінанси,Work.ua,,,5,,,needs_verification,false,
pumb,ПУМБ,Банки і фінанси,Robota.ua,,,5,,,needs_verification,false,
pumb,ПУМБ,Банки і фінанси,Indeed,,,5,,,needs_verification,false,
pumb,ПУМБ,Банки і фінанси,Glassdoor,,,5,,,needs_verification,false,
radabank,Радабанк,Банки і фінанси,Google,,,5,,,needs_verification,false,
radabank,Радабанк,Банки і фінанси,Work.ua,,,5,,,needs_verification,false,
radabank,Радабанк,Банки і фінанси,Robota.ua,,,5,,,needs_verification,false,
radabank,Радабанк,Банки і фінанси,Indeed,,,5,,,needs_verification,false,
