company_name,company_slug,source_name,source_url,vacancies_count,note
Megogo,megogo,Work.ua,https://www.work.ua/jobs/by-company/240655,25,Work.ua VIP list
Mirs,mirs,Work.ua,https://www.work.ua/jobs/by-company/987214,5,Work.ua VIP list
Mitridat Container Transport,mitridat-container-transport,Work.ua,https://www.work.ua/jobs/by-company/1838082,9,Work.ua VIP list
Mobile Trend,mobile-trend,Work.ua,https://www.work.ua/jobs/by-company/1005921,106,Work.ua VIP list
Motorni,motorni,Work.ua,https://www.work.ua/jobs/by-company/216798,18,Work.ua VIP list
Musafir,musafir,Work.ua,https://www.work.ua/jobs/by-company/719896,10,Work.ua VIP list
My device,my-device,Work.ua,https://www.work.ua/jobs/by-company/1733708,2,Work.ua VIP list
NDA Recruitment,nda-recruitment,Work.ua,https://www.work.ua/jobs/by-company/3106297,258,Work.ua VIP list
NOVUS,novus,Work.ua,https://www.work.ua/jobs/by-company/100879,142,Work.ua VIP list
OKKO,okko,Work.ua,https://www.work.ua/jobs/by-company/19423,386,Work.ua VIP list
OKWINE,okwine,Work.ua,https://www.work.ua/jobs/by-company/296812,47,Work.ua VIP list
Optima Hotels & Resorts,optima-hotels-resorts,Work.ua,https://www.work.ua/jobs/by-company/114235,37,Work.ua VIP list
Parallel,parallel,Work.ua,https://www.work.ua/jobs/by-company/26000,35,Work.ua VIP list
Pesto Family,pesto-family,Work.ua,https://www.work.ua/jobs/by-company/124265,12,Work.ua VIP list
Petimpex,petimpex,Work.ua,https://www.work.ua/jobs/by-company/69829,14,Work.ua VIP list
Pizza Day,pizza-day,Work.ua,https://www.work.ua/jobs/by-company/1275466,67,Work.ua VIP list
PJSC Carlsberg Ukraine,carlsberg-ukraine,Work.ua,https://www.work.ua/jobs/by-company/52150,30,Work.ua VIP list
Pro recruitment,pro-recruitment,Work.ua,https://www.work.ua/jobs/by-company/2436992,201,Work.ua VIP list
ProCare,procare,Work.ua,https://www.work.ua/jobs/by-company/458137,16,Work.ua VIP list
Prostor,prostor,Work.ua,https://www.work.ua/jobs/by-company/40163,369,Work.ua VIP list
Puma Ukraine,puma-ukraine,Work.ua,https://www.work.ua/jobs/by-company/211357,30,Work.ua VIP list
RedHead Family Corporation,redhead-family-corporation,Work.ua,https://www.work.ua/jobs/by-company/27389,67,Work.ua VIP list
RetailGroup,retailgroup,Work.ua,https://www.work.ua/jobs/by-company/84737,385,Work.ua VIP list
Rifbar,rifbar,Work.ua,https://www.work.ua/jobs/by-company/2587625,7,Work.ua VIP list
Rozetka,rozetka,Work.ua,https://www.work.ua/jobs/by-company/502838,163,Work.ua VIP list
Sandi+,sandi-plus,Work.ua,https://www.work.ua/jobs/by-company/540512,24,Work.ua VIP list
Sense Bank,sense-bank,Work.ua,https://www.work.ua/jobs/by-company/13466,252,Work.ua VIP list
Smart Solutions,smart-solutions,Work.ua,https://www.work.ua/jobs/by-company/104380,49,Work.ua VIP list
Snack Production,snack-production,Work.ua,https://www.work.ua/jobs/by-company/49881,197,Work.ua VIP list
Socium Developer,socium-developer,Work.ua,https://www.work.ua/jobs/by-company/1809668,10,Work.ua VIP list
SOVA jewelry house,sova-jewelry-house,Work.ua,https://www.work.ua/jobs/by-company/222459,51,Work.ua VIP list
Starlight Media,starlight-media,Work.ua,https://www.work.ua/jobs/by-company/9462,15,Work.ua VIP list
Steko,steko,Work.ua,https://www.work.ua/jobs/by-company/198631,45,Work.ua VIP list
Strans,strans,Work.ua,https://www.work.ua/jobs/by-company/347069,40,Work.ua VIP list
Study.ua,study-ua,Work.ua,https://www.work.ua/jobs/by-company/701,13,Work.ua VIP list
STV group,stv-group,Work.ua,https://www.work.ua/jobs/by-company/7672,50,Work.ua VIP list
Symbol,symbol,Work.ua,https://www.work.ua/jobs/by-company/1316123,74,Work.ua VIP list
TAF Industries,taf-industries,Work.ua,https://www.work.ua/jobs/by-company/2632296,42,Work.ua VIP list
The Capital,the-capital,Work.ua,https://www.work.ua/jobs/by-company/1836391,23,Work.ua VIP list
THRASH,thrash,Work.ua,https://www.work.ua/jobs/by-company/1497933,68,Work.ua VIP list
Torba,torba,Work.ua,https://www.work.ua/jobs/by-company/964226,50,Work.ua VIP list
Totis Pharma,totis-pharma,Work.ua,https://www.work.ua/jobs/by-company/106033,27,Work.ua VIP list
Tsarsky City Resort,tsarsky-city-resort,Work.ua,https://www.work.ua/jobs/by-company/471453,16,Work.ua VIP list
UGB еко банк,ugb-eko-bank,Work.ua,https://www.work.ua/jobs/by-company/322268,47,Work.ua VIP list
Ukrlandfarming,ukrlandfarming,Work.ua,https://www.work.ua/jobs/by-company/38487,41,Work.ua VIP list
UKRNAFTA,ukrnafta,Work.ua,https://www.work.ua/jobs/by-company/414927,118,Work.ua VIP list
